Month,Day,Hour,SGP_ARM_Fixed_Tilt,SGP_ARM_Single-Axis,SGP_ARM_Dual-Axis,SGP_ARM_Vertical_Bifacial,SGP_NSRDB_Fixed_Tilt,SGP_NSRDB_Single-Axis,SGP_NSRDB_Dual-Axis,SGP_NSRDB_Vertical_Bifacial
4,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,12,7,26.431818058009657,65.45646004401776,73.19534035702813,74.0704619888445,-0.0,-0.0,-0.0,-0.0
4,12,8,294.014265614917,514.0830816234895,552.3333468920331,509.63132180925317,-0.0,-0.0,-0.0,-0.0
4,12,9,514.3262696424715,675.7109988111015,713.6102546082984,578.2802292480402,-0.0,-0.0,-0.0,-0.0
4,12,10,696.3829321544424,740.4077164534051,799.7771732863915,525.9089006438895,-0.0,-0.0,-0.0,-0.0
4,12,11,771.3102693205324,726.6001893639224,803.8492009854579,345.1724871024382,-0.0,-0.0,-0.0,-0.0
4,12,12,739.0233674353183,664.6803502599014,749.7086109034873,205.050454353977,-0.0,-0.0,-0.0,-0.0
4,12,13,705.8040898335624,674.1900543133429,739.9743448908894,336.7254770642119,400.04070357738794,373.345983781415,418.91164561694336,124.2346829480677
4,12,14,651.1875771425672,686.6960713897938,739.8640114933786,459.53385180681914,555.5351002812578,592.1115590223362,643.874187867918,306.97176763297244
4,12,15,378.85253825956914,441.30351023821123,470.3167943272731,371.7363330303859,548.6796885710723,723.9405476923648,765.1252418143316,469.6921829318768
4,12,16,216.21554322453667,248.42858138778743,251.8540893144768,245.1668681696832,447.6155999953186,790.4959035594227,833.3333333333334,593.790355032223
4,12,17,148.1839153887903,219.9507810043728,226.5692457889246,217.2893796939406,250.05256084742072,770.5551671630964,833.3333333333334,645.0281257641951
4,12,18,43.35363508649235,253.61938030520852,322.1778336190851,117.00096335094322,-0.0,833.3333333333334,833.3333333333334,763.0801516508039
4,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13,6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,13,7,10.082962091917548,9.684780841651438,7.66175151121399,10.966038723319434,-0.0,-0.0,-0.0,-0.0
4,13,8,18.07743756947729,16.72495063223827,15.567712560007362,18.67173043194364,-0.0,-0.0,-0.0,-0.0
4,13,9,41.0127222241757,37.98268731110598,39.52940822827378,42.123598006294706,-0.0,-0.0,-0.0,-0.0
4,13,10,91.42978208811785,94.54035260161507,95.32606380108608,93.19999745621612,-0.0,-0.0,-0.0,-0.0
4,13,11,111.16511992557048,124.30583873137554,120.13568645571894,110.96867780852406,-0.0,-0.0,-0.0,-0.0
4,13,12,127.81118726766432,147.07235403583476,139.5176263273181,123.85622417359895,-0.0,-0.0,-0.0,-0.0
4,13,13,129.63028274815696,144.5297212924158,140.07334980480286,127.35522774148552,317.34984011179876,295.14030709846963,333.2955973267723,100.96170756718632
4,13,14,68.54735388163596,70.91607314157388,71.2581598045044,70.1855424369914,497.5183268785865,532.2677781006009,579.7505660073391,280.00888586098546
